radio,mcc,net,area,cell,lat,lon,range,samples
GSM,724,2,0,9,-6.0683,-49.903,1000,1
GSM,724,2,3922,36711,-22.8334,-42.1746,931,34
GSM,724,2,3922,46913,-22.8372,-42.1655,1000,4
GSM,724,2,5021,7022,-22.9758,-43.4085,1795,50
GSM,724,2,14621,2251,-22.9985,-43.4276,1000,2
GSM,724,2,14621,2273,-23.0178,-43.4599,1000,2
GSM,724,2,14621,38382,-22.9318,-42.7153,1000,19
GSM,724,2,15221,4123,-22.9121,-43.5638,1000,2
GSM,724,2,15221,4211,-22.9395,-43.5759,1150,50
GSM,724,2,15221,14211,-22.9414,-43.5879,1286,5
GSM,724,2,15221,14212,-22.9467,-43.5974,1000,2
GSM,724,2,15221,14213,-22.9391,-43.5971,1000,5
GSM,724,2,17027,56113,-20.6336,-40.5326,4735,25
GSM,724,2,17194,56018,-6.0738,-49.8719,4820,50
GSM,724,2,17194,56092,-6.0911,-49.8656,2537,35
GSM,724,2,20231,62911,-19.8849,-44.4246,982,51
GSM,724,2,20231,62912,-19.887,-44.4185,500,39
GSM,724,2,21535,51041,-21.8,-45.4664,1000,1
GSM,724,2,21535,51042,-21.8355,-45.5021,6062,3
GSM,724,2,21535,51045,-21.8,-45.4664,1000,1
GSM,724,2,21535,51046,-21.8355,-45.5021,6062,3
GSM,724,2,22383,402,-7.2265,-35.8683,1000,1
GSM,724,2,22388,5720,-5.8823,-38.6111,1000,1
GSM,724,2,22475,40022,-12.3964,-38.8151,1000,1
GSM,724,2,22482,7953,-9.8012,-36.1079,1000,1
GSM,724,2,22482,40513,-9.4778,-35.842,1000,1
GSM,724,2,22488,367,-5.9852,-39.1427,1000,1
GSM,724,2,22488,1822,-6.4061,-38.8565,1000,1
GSM,724,2,22588,214,-4.5241,-38.3162,1000,1
GSM,724,2,22588,9942,-4.8778,-37.4491,1000,1
GSM,724,2,22684,12273,-5.8889,-35.2533,1000,1
GSM,724,2,23281,3861,-8.1821,-34.9461,1000,1
GSM,724,2,25021,27033,-22.759,-43.2893,1000,1
GSM,724,2,25021,27042,-22.7602,-43.3029,1000,1
GSM,724,2,25121,27081,-22.7848,-43.2846,1000,1
GSM,724,2,28224,38073,-22.4502,-44.4822,4391,9
GSM,724,2,28224,38463,-22.4577,-44.4934,3456,2
GSM,724,2,28224,38721,-22.4455,-44.5225,3791,16
GSM,724,2,28224,38722,-22.4773,-44.54,4053,19
GSM,724,2,28224,38723,-22.4457,-44.525,2871,10
GSM,724,2,28224,38726,-22.4851,-44.5493,5259,6
GSM,724,2,28224,38727,-22.4452,-44.5239,1954,7
GSM,724,2,28224,38791,-22.444,-44.5236,1000,1
GSM,724,2,28224,38793,-22.4032,-44.5206,6871,5
GSM,724,2,28284,11142,-5.8614,-35.3513,1000,1
GSM,724,2,40134,39371,-18.8948,-48.7055,1000,1
GSM,724,2,40134,39372,-18.9115,-48.7383,1000,1
GSM,724,2,40221,23931,-22.658,-42.749,10553,45
GSM,724,2,40221,23932,-22.6554,-42.746,1538,50
GSM,724,2,40221,23933,-22.6554,-42.746,1538,50
GSM,724,2,41022,39761,-21.2603,-41.7714,1000,1
GSM,724,2,41032,32971,-21.7613,-43.604,1000,1
GSM,724,2,41085,3523,-3.6382,-38.6372,1000,6
GSM,724,2,41185,3171,-3.651,-38.6112,1000,21
GSM,724,2,41185,3222,-3.6389,-38.6345,1000,10
GSM,724,2,41185,3233,-3.6245,-38.6958,1000,3
GSM,724,2,41233,46031,-19.632,-42.1068,1000,1
GSM,724,2,41385,4503,-3.6249,-38.694,3910,51
GSM,724,2,41422,41241,-21.5744,-42.2097,1000,1
GSM,724,2,41521,36981,-22.6665,-42.7664,14454,44
